"heterogeneidad
ambiental","geomorf
llanura","geomorf
pico","geomorf
interfluvio","geomorf
hombrera","geomorf
espolón/gajo","geomorf
vertiente","geomorf
vaguada","geomorf
piedemonte","geomorf
valle","geomorf
sima",Al,B,Ca,Cu,Fe,K,Mg,Mn,P,Zn,N,N.min.,pH,"elevacion
media","pendiente
media","orientacion
media","curvatura
perfil
media","curvatura
tangencial
media","abundancia
global","riqueza
global","riqueza
mifam","abundancia
mifam"
0.6272,10.02,0,0.83,10.76,7.26,67.07,3.2800000000000002,0.7799999999999999,0,0,901.0908,0.79448,1680.02076,6.20312,135.28696,141.88128,279.12912,266.99972,1.95248,2.96948,18.465,-3.88544,4.32432,136.5519651003723,10.226696076223254,288.37951223795415,0.0028371971489013904,5.204063736471142e-4,4079,181,10,60
0.39359999999999995,34.77,0,0.36,10.65,0.64,47.97,0.5700000000000001,4.88,0.16,0,954.24884,0.66968,1503.3648,6.03148,141.80804,137.23932,280.45236,320.47864,2.2474,2.53208,21.59896,5.64388,4.37548,142.0903144831543,3.047808789660409,181.3851872418858,0.001333948141619453,7.514739578804209e-4,3800,163,10,68
0,0,0,0,1.3599999999999999,5.21,77.03999999999999,12.620000000000001,0,3.7699999999999996,0,1114.1122,0.59516,1182.31144,6.79768,157.08784,98.69056,230.39732,445.07084,1.95484,2.24672,20.24516,-4.06408,4.347,137.23550264178468,10.52393696052283,164.9017084753394,-8.496227488932389e-4,-9.649617382647633e-4,4611,171,9,96
0,0,0,0.16,0,10.99,84.17999999999999,4.53,0,0.13999999999999999,0,1023.57932,0.5678,1558.02024,6.634,153.17464,98.36412,228.94676,407.75796,2.63444,2.44284,20.84232,7.89012,4.46112,143.039826177063,9.790396233422308,221.30755997047424,1.992615492680443e-4,-1.589583936106692e-4,3906,163,8,76
0.4608,2.58,0,0,1.7399999999999998,0,93.86,0.16999999999999998,1.6500000000000001,0,0,1001.8848,0.39876,1242.25084,6.44428,149.25092,94.07208,202.68204,250.54028,1.86356,2.13748,16.945,8.53716,4.40128,154.12697669085694,5.3683276812195775,248.08729259643556,0.0017627040984022756,3.943571886423456e-4,4549,174,9,58
0.07679999999999998,0,0.16999999999999998,3.01,0.86,5.57,72.04,8.85,1.9,7.6,0,1091.4672,0.7312,1441.97732,6.49552,173.8682,131.8928,276.501,477.32488,1.61612,2.63148,20.29812,4.38948,4.57252,123.89586022677612,10.795728972536326,244.44802441679573,-0.0031542362053834498,-3.6804167495871804e-4,3685,165,10,46
0.3808,0,0.53,2.87,2.9899999999999998,16.150000000000002,63.480000000000004,9.34,0.19,4.45,0,1183.88368,0.34012,1111.443,5.55292,138.26784,117.12156,242.18336,300.67564,2.12696,2.15556,20.096,8.33632,4.55972,138.65814251309203,12.870604000840336,218.300545054511,0.0018408726884180963,3.022547784344398e-4,4527,173,11,79
0.21120000000000005,0,0,0,0.26,9.53,88.2,0.35000000000000003,0,1.66,0,1256.14472,0.32224,1029.21028,6.28208,147.15632,104.30808,184.51472,204.25324,3.10668,2.07284,21.50216,-0.03472,4.41168,146.29863759088136,7.778736177504062,205.69296543884278,0.0011782486919112898,1.4046459868607712e-4,4376,176,11,84
0,0,0,0,2.2399999999999998,6.45,84.34,3.75,0,3.11,0.11,1122.32592,0.4636,1230.27116,7.17968,153.00336,110.2442,206.60872,414.72836,1.99128,2.33068,21.43224,0.05456,4.53336,149.00223685015868,7.079292476901412,239.38407178807537,0.0010674260859572088,-0.0011360540546675566,4381,162,7,59
0,1.03,0,0,5.83,0.03,86.46000000000001,1.54,4.82,0.29,0,1171.60152,0.31404,1126.86388,6.88668,132.56612,104.81508,172.34528,329.69304,1.68548,2.05104,18.28212,7.69104,4.555,154.77369239691163,4.158707433502376,274.61117442474364,3.3286374708848285e-4,-1.8979427109770764e-4,4057,163,9,63
